deviceId~2,latitude,longitude,speed~1,reliability~4,satellite,type~4,lock~4,isoDate~9
51B04536,10.867012,106.59823,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B04803,10.841349,106.78337,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B04890,10.945527,106.53468,0.0,0.0,0,1,1,Wed Sep 10 00:00:00 ICT 2014
51B05126,10.7757635,106.76127,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B05150,10.9459715,106.534515,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B05162,10.888574,106.58584,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B05440,10.92919,106.64471,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B05804,10.72133,106.70111,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B05810,10.971352,106.64656,0.0,0.0,0,1,1,Wed Sep 10 00:00:01 ICT 2014
51B05916,10.824866,106.76555,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B05934,10.797335,106.80109,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51B06424,10.811347,106.85868,0.0,0.0,0,1,1,Wed Sep 10 00:00:00 ICT 2014
51B06656,10.894353,106.584465,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B06729,10.890183,106.58222,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B06732,10.890163,106.5822,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B06738,10.954732,106.611984,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B06980,10.961398,106.642,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B07320,10.8802,106.59289,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B07721,10.893,106.58199,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B07908,10.99505,106.5934,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51B07992,10.9266615,106.634,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B08323,10.723019,106.73621,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B08347,10.844002,106.75506,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51B08377,10.780548,106.75966,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B08498,10.809205,106.75359,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B08588,10.839773,106.7326,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B08606,10.944305,106.6052,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B08627,10.984542,106.52029,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B09159,10.94757,106.6054,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B09481,10.789648,106.74477,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B09884,11.014452,106.56333,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51B10144,10.784966,106.76643,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
